medal_type,medal_code,name,gender,nationality,discipline,event,code_athlete
Gold Medal,1,HELLWIG Tim,Male,Germany,Triathlon,Mixed Relay,1558780
Gold Medal,1,TERTSCH Lisa,Female,Germany,Triathlon,Mixed Relay,1558784
Gold Medal,1,LUEHRS Lasse,Male,Germany,Triathlon,Mixed Relay,1558775
Gold Medal,1,LINDEMANN Laura,Female,Germany,Triathlon,Mixed Relay,1558773
Silver Medal,2,RIDER Seth,Male,United States,Triathlon,Mixed Relay,1930750
Silver Medal,2,SPIVEY Taylor,Female,United States,Triathlon,Mixed Relay,1930752
Silver Medal,2,PEARSON Morgan,Male,United States,Triathlon,Mixed Relay,1930747
Silver Medal,2,KNIBB Taylor,Female,United States,Triathlon,Mixed Relay,1930739
Bronze Medal,3,YEE Alex,Male,Great Britain,Triathlon,Mixed Relay,1904251
Bronze Medal,3,TAYLOR-BROWN Georgia,Female,Great Britain,Triathlon,Mixed Relay,1904248
Bronze Medal,3,DICKINSON Samuel,Male,Great Britain,Triathlon,Mixed Relay,1904232
Bronze Medal,3,POTTER Beth,Female,Great Britain,Triathlon,Mixed Relay,1904244
Gold Medal,1,van den BERG Roy,Male,Netherlands,Cycling Track,Men's Team Sprint,1969218
Gold Medal,1,LAVREYSEN Harrie,Male,Netherlands,Cycling Track,Men's Team Sprint,1969182
Gold Medal,1,HOOGLAND Jeffrey,Male,Netherlands,Cycling Track,Men's Team Sprint,1969203
Gold Medal,1,van LOON Tijmen,Male,Netherlands,Cycling Track,Men's Team Sprint,1969204
Silver Medal,2,CARLIN Jack,Male,Great Britain,Cycling Track,Men's Team Sprint,1912515
Silver Medal,2,TURNBULL Hamish,Male,Great Britain,Cycling Track,Men's Team Sprint,1912568
Silver Medal,2,LOWE Ed,Male,Great Britain,Cycling Track,Men's Team Sprint,1912536
Silver Medal,2,TRUMAN Joseph,Male,Great Britain,Cycling Track,Men's Team Sprint,1912567
Bronze Medal,3,GLAETZER Matthew,Male,Australia,Cycling Track,Men's Team Sprint,1940262
Bronze Medal,3,RICHARDSON Matthew,Male,Australia,Cycling Track,Men's Team Sprint,1940263
Bronze Medal,3,HOFFMAN Leigh,Male,Australia,Cycling Track,Men's Team Sprint,1940260
Bronze Medal,3,CORNISH Thomas,Male,Australia,Cycling Track,Men's Team Sprint,1940267
Gold Medal,1,CHANG Hao,Female,China,Artistic Swimming,Team,1908847
Gold Medal,1,FENG Yu,Female,China,Artistic Swimming,Team,1908846
Gold Medal,1,WANG Qianyi,Female,China,Artistic Swimming,Team,1908853
Gold Medal,1,WANG Ciyue,Female,China,Artistic Swimming,Team,1908850
Gold Medal,1,WANG Liuyi,Female,China,Artistic Swimming,Team,1908852
Gold Medal,1,XIANG Binxuan,Female,China,Artistic Swimming,Team,1908855
Gold Medal,1,XIAO Yanning,Female,China,Artistic Swimming,Team,1908854
Gold Medal,1,ZHANG Yayi,Female,China,Artistic Swimming,Team,1908851
Gold Medal,1,CHENG Wentao,Female,China,Artistic Swimming,Team,1908848
Silver Medal,2,ALVAREZ Anita,Female,United States,Artistic Swimming,Team,1943038
Silver Medal,2,CZARKOWSKI Jaime,Female,United States,Artistic Swimming,Team,1943040
Silver Medal,2,FIELD Megumi,Female,United States,Artistic Swimming,Team,1943042
Silver Medal,2,HUNTER Keana,Female,United States,Artistic Swimming,Team,1943043
Silver Medal,2,KWON Audrey,Female,United States,Artistic Swimming,Team,1943044
Silver Medal,2,LUU Jacklyn,Female,United States,Artistic Swimming,Team,1943046
Silver Medal,2,RAMIREZ Daniella,Female,United States,Artistic Swimming,Team,1943048
Silver Medal,2,REMATI Ruby,Female,United States,Artistic Swimming,Team,1943049
Silver Medal,2,LIU Calista,Female,United States,Artistic Swimming,Team,1943045
Bronze Medal,3,TIO CASAS Iris,Female,Spain,Artistic Swimming,Team,1954818
Bronze Medal,3,OZHOGINA OZHOGIN Alisa,Female,Spain,Artistic Swimming,Team,1954815
Bronze Medal,3,MAS PUJADAS Meritxell,Female,Spain,Artistic Swimming,Team,1954814
Bronze Medal,3,TOLEDANO LAUT Blanca,Female,Spain,Artistic Swimming,Team,1954819
Bronze Medal,3,RAMIREZ IBANEZ Paula,Female,Spain,Artistic Swimming,Team,1954816
Bronze Medal,3,LLUIS VALETTE Lilou,Female,Spain,Artistic Swimming,Team,1954813
Bronze Medal,3,GARCIA POLO Marina,Female,Spain,Artistic Swimming,Team,1954811
Bronze Medal,3,FERRE GASET Txell,Female,Spain,Artistic Swimming,Team,1954809
Bronze Medal,3,SALDANA LOPEZ Sara,Female,Spain,Artistic Swimming,Team,1954817
Gold Medal,1,MARTIN Alvaro,Male,Spain,Athletics,Marathon Race Walk Relay Mixed,1904165
Gold Medal,1,PEREZ Maria,Female,Spain,Athletics,Marathon Race Walk Relay Mixed,1905369
Silver Medal,2,PINTADO Brian Daniel,Male,Ecuador,Athletics,Marathon Race Walk Relay Mixed,1929767
Silver Medal,2,MOREJON Glenda,Female,Ecuador,Athletics,Marathon Race Walk Relay Mixed,1930407
Bronze Medal,3,COWLEY Rhydian,Male,Australia,Athletics,Marathon Race Walk Relay Mixed,1939848
Bronze Medal,3,MONTAG Jemima,Female,Australia,Athletics,Marathon Race Walk Relay Mixed,1939791
Gold Medal,1,BLEDDYN Oliver,Male,Australia,Cycling Track,Men's Team Pursuit,1940264
Gold Medal,1,O'BRIEN Kelland,Male,Australia,Cycling Track,Men's Team Pursuit,1940258
Gold Medal,1,WELSFORD Sam,Male,Australia,Cycling Track,Men's Team Pursuit,1940265
Gold Medal,1,LEAHY Conor,Male,Australia,Cycling Track,Men's Team Pursuit,1940253
Gold Medal,1,MORIARTY James,Male,Australia,Cycling Track,Men's Team Pursuit,1940256
Silver Medal,2,VERNON Ethan,Male,Great Britain,Cycling Track,Men's Team Pursuit,1912571
Silver Medal,2,WOOD Oliver,Male,Great Britain,Cycling Track,Men's Team Pursuit,1912575
Silver Medal,2,BIGHAM Daniel,Male,Great Britain,Cycling Track,Men's Team Pursuit,1912510
Silver Medal,2,TANFIELD Charlie,Male,Great Britain,Cycling Track,Men's Team Pursuit,1912560
Silver Medal,2,HAYTER Ethan,Male,Great Britain,Cycling Track,Men's Team Pursuit,1957081
Silver Medal,2,STEWART Mark,Male,Great Britain,Cycling Track,Men's Team Pursuit,1912557
Bronze Medal,3,CONSONNI Simone,Male,Italy,Cycling Track,Men's Team Pursuit,1923518
Bronze Medal,3,GANNA Filippo,Male,Italy,Cycling Track,Men's Team Pursuit,1923520
Bronze Medal,3,LAMON Francesco,Male,Italy,Cycling Track,Men's Team Pursuit,1923517
Bronze Medal,3,MILAN Jonathan,Male,Italy,Cycling Track,Men's Team Pursuit,1923529
Bronze Medal,3,MORO Manlio,Male,Italy,Cycling Track,Men's Team Pursuit,1923521
Gold Medal,1,CUMMINS Olivia,Female,United States,Cycling Track,Women's Team Pursuit,1955077
Gold Medal,1,EHRLICH Emily,Female,United States,Cycling Track,Women's Team Pursuit,1955080
Gold Medal,1,FAULKNER Kristen,Female,United States,Cycling Track,Women's Team Pursuit,1955081
Gold Medal,1,VALENTE Jennifer,Female,United States,Cycling Track,Women's Team Pursuit,1955106
Gold Medal,1,WILLIAMS Lily,Female,United States,Cycling Track,Women's Team Pursuit,1955108
Gold Medal,1,DYGERT Chloe,Female,United States,Cycling Track,Women's Team Pursuit,1955079
Silver Medal,2,BOTHA Bryony,Female,New Zealand,Cycling Track,Women's Team Pursuit,1945056
Silver Medal,2,WOLLASTON Ally,Female,New Zealand,Cycling Track,Women's Team Pursuit,1945080
Silver Medal,2,SHEARMAN Emily,Female,New Zealand,Cycling Track,Women's Team Pursuit,1945081
Silver Medal,2,SHIELDS Nicole,Female,New Zealand,Cycling Track,Women's Team Pursuit,1945061
Silver Medal,2,DONNELLY Samantha,Female,New Zealand,Cycling Track,Women's Team Pursuit,1945066
Bronze Medal,3,EVANS Neah,Female,Great Britain,Cycling Track,Women's Team Pursuit,1912519
Bronze Medal,3,BARKER Elinor,Female,Great Britain,Cycling Track,Women's Team Pursuit,1912507
Bronze Medal,3,KNIGHT Josie,Female,Great Britain,Cycling Track,Women's Team Pursuit,1912532
Bronze Medal,3,MORRIS Anna,Female,Great Britain,Cycling Track,Women's Team Pursuit,1912538
Bronze Medal,3,ROBERTS Jessica,Female,Great Britain,Cycling Track,Women's Team Pursuit,1957083
Bronze Medal,3,BARKER Megan,Female,Great Britain,Cycling Track,Women's Team Pursuit,1912508
Gold Medal,1,LIU Hao,Male,China,Canoe Sprint,Men's Canoe Double 500m,1927393
Gold Medal,1,JI Bowen,Male,China,Canoe Sprint,Men's Canoe Double 500m,1927392
Silver Medal,2,CASADEI Gabriele,Male,Italy,Canoe Sprint,Men's Canoe Double 500m,1548871
Silver Medal,2,TACCHINI Carlo,Male,Italy,Canoe Sprint,Men's Canoe Double 500m,1548868
Bronze Medal,3,MORENO Joan Antoni,Male,Spain,Canoe Sprint,Men's Canoe Double 500m,1954023
Bronze Medal,3,DOMINGUEZ Diego,Male,Spain,Canoe Sprint,Men's Canoe Double 500m,1953996
Gold Medal,1,RENDSCHMIDT Max,Male,Germany,Canoe Sprint,Men's Kayak Four 500m,1913740
Gold Medal,1,LEMKE Max,Male,Germany,Canoe Sprint,Men's Kayak Four 500m,1913736
Gold Medal,1,SCHOPF Jacob,Male,Germany,Canoe Sprint,Men's Kayak Four 500m,1913746
Gold Medal,1,LIEBSCHER-LUCZ Tom,Male,Germany,Canoe Sprint,Men's Kayak Four 500m,1913737
Silver Medal,2,FITZSIMMONS Riley,Male,Australia,Canoe Sprint,Men's Kayak Four 500m,1940222
Silver Medal,2,van der WESTHUYZEN Pierre,Male,Australia,Canoe Sprint,Men's Kayak Four 500m,1940221
Silver Medal,2,COLLINS Jackson,Male,Australia,Canoe Sprint,Men's Kayak Four 500m,1940217
Silver Medal,2,HAVARD Noah,Male,Australia,Canoe Sprint,Men's Kayak Four 500m,1940220
Bronze Medal,3,CRAVIOTTO Saul,Male,Spain,Canoe Sprint,Men's Kayak Four 500m,1953992
Bronze Medal,3,AREVALO Carlos,Male,Spain,Canoe Sprint,Men's Kayak Four 500m,1953983
Bronze Medal,3,COOPER Marcus,Male,Spain,Canoe Sprint,Men's Kayak Four 500m,1954051
Bronze Medal,3,GERMADE Rodrigo,Male,Spain,Canoe Sprint,Men's Kayak Four 500m,1954008
Gold Medal,1,CARRINGTON Lisa,Female,New Zealand,Canoe Sprint,Women's Kayak Four 500m,1945383
Gold Medal,1,HOSKIN Alicia,Female,New Zealand,Canoe Sprint,Women's Kayak Four 500m,1945378
Gold Medal,1,BRETT Olivia,Female,New Zealand,Canoe Sprint,Women's Kayak Four 500m,1945392
Gold Medal,1,VAUGHAN Tara,Female,New Zealand,Canoe Sprint,Women's Kayak Four 500m,1945375
Silver Medal,2,PASZEK Paulina,Female,Germany,Canoe Sprint,Women's Kayak Four 500m,1913800
Silver Medal,2,HAKE Jule Marie,Female,Germany,Canoe Sprint,Women's Kayak Four 500m,1913749
Silver Medal,2,JAGSCH Pauline,Female,Germany,Canoe Sprint,Women's Kayak Four 500m,1913793
Silver Medal,2,BRUESSLER Sarah,Female,Germany,Canoe Sprint,Women's Kayak Four 500m,1913743
Bronze Medal,3,PUPP Noemi,Female,Hungary,Canoe Sprint,Women's Kayak Four 500m,1570556
Bronze Medal,3,FOJT Sara,Female,Hungary,Canoe Sprint,Women's Kayak Four 500m,1568745
Bronze Medal,3,CSIPES Tamara,Female,Hungary,Canoe Sprint,Women's Kayak Four 500m,1568350
Bronze Medal,3,GAZSO Alida Dora,Female,Hungary,Canoe Sprint,Women's Kayak Four 500m,1568750
Bronze Medal,3,EL KAJOUI Munir,Male,Morocco,Football,Men,1974002
Bronze Medal,3,HAKIMI Achraf,Male,Morocco,Football,Men,1970338
Bronze Medal,3,NAKACH Akram,Male,Morocco,Football,Men,1966721
Bronze Medal,3,BOUKAMIR Mehdi,Male,Morocco,Football,Men,1965671
Bronze Medal,3,TAHIF Adil,Male,Morocco,Football,Men,1974721
Bronze Medal,3,BOUCHOUARI Benjamin,Male,Morocco,Football,Men,1965956
Bronze Medal,3,BEN SEGHIR Eliesse,Male,Morocco,Football,Men,1967241
Bronze Medal,3,EL KHANNOUSS Bilal,Male,Morocco,Football,Men,1966630
Bronze Medal,3,RAHIMI Soufiane,Male,Morocco,Football,Men,1970731
Bronze Medal,3,AKHOMACH Ilias,Male,Morocco,Football,Men,1965995
Bronze Medal,3,EL OUAHDI Zakaria,Male,Morocco,Football,Men,1965809
Bronze Medal,3,GHANIMI Rachid,Male,Morocco,Football,Men,1965515
Bronze Medal,3,KECHTA Yassine,Male,Morocco,Football,Men,1966539
Bronze Medal,3,TARGHALLINE Oussama,Male,Morocco,Football,Men,1966919
Bronze Medal,3,MAOUHOUB Mehdi,Male,Morocco,Football,Men,1967172
Bronze Medal,3,EZZALZOULI Abde,Male,Morocco,Football,Men,1966639
Bronze Medal,3,EL AZZOUZI Oussama,Male,Morocco,Football,Men,1966642
Bronze Medal,3,RICHARDSON Amir,Male,Morocco,Football,Men,1966624
Bronze Medal,3,MANAOUT Haytam,Male,Morocco,Football,Men,1967053
Gold Medal,1,JANSSEN Ji,Male,Netherlands,Hockey,Men,1971941
Gold Medal,1,BALK Lars,Male,Netherlands,Hockey,Men,1971905
Gold Medal,1,de GEUS Jonas,Male,Netherlands,Hockey,Men,1971929
Gold Medal,1,van DAM Thijs,Male,Netherlands,Hockey,Men,1971922
Gold Medal,1,BRINKMAN Thierry,Male,Netherlands,Hockey,Men,1971917
Gold Medal,1,van ASS Seve,Male,Netherlands,Hockey,Men,1971904
Gold Medal,1,CROON Jorrit Jan Willem,Male,Netherlands,Hockey,Men,1971921
Gold Medal,1,BLOK Justen,Male,Netherlands,Hockey,Men,1971911
Gold Medal,1,de VILDER Derck,Male,Netherlands,Hockey,Men,1971976
Gold Medal,1,WORTELBOER Floris,Male,Netherlands,Hockey,Men,1971980
Gold Medal,1,HOEDEMAKERS Tje,Male,Netherlands,Hockey,Men,1971934
Gold Medal,1,BIJEN Koen,Male,Netherlands,Hockey,Men,1971909
Gold Medal,1,de MOL Joe,Male,Netherlands,Hockey,Men,1971956
Gold Medal,1,van HEIJNINGEN Steijn,Male,Netherlands,Hockey,Men,1971932
Gold Medal,1,BLAAK Pirmin,Male,Netherlands,Hockey,Men,1971910
Gold Medal,1,REYENGA Tijmen,Male,Netherlands,Hockey,Men,1971963
Gold Medal,1,TELGENKAMP Duco,Male,Netherlands,Hockey,Men,1971968
Gold Medal,1,MIDDENDORP Floris,Male,Netherlands,Hockey,Men,1971952
Silver Medal,2,MUELLER Mathias,Male,Germany,Hockey,Men,1561321
Silver Medal,2,GRAMBUSCH Mats,Male,Germany,Hockey,Men,1561319
Silver Medal,2,WINDFEDER Lukas,Male,Germany,Hockey,Men,1561323
Silver Medal,2,WELLEN Niklas,Male,Germany,Hockey,Men,1561318
Silver Medal,2,GROSSE Johannes,Male,Germany,Hockey,Men,1561325
Silver Medal,2,PRINZ Thies,Male,Germany,Hockey,Men,1561362
Silver Medal,2,KAUFMANN Paul-Phili,Male,Germany,Hockey,Men,1561360
Silver Medal,2,HINRICHS Teo,Male,Germany,Hockey,Men,1561365
Silver Medal,2,GRAMBUSCH Tom,Male,Germany,Hockey,Men,1561316
Silver Medal,2,PEILLAT Gonzalo,Male,Germany,Hockey,Men,1561413
Silver Medal,2,RUEHR Christopher,Male,Germany,Hockey,Men,1561322
Silver Medal,2,WEIGAND Justus,Male,Germany,Hockey,Men,1561381
Silver Medal,2,MILTKAU Marco,Male,Germany,Hockey,Men,1561320
Silver Medal,2,ZWICKER Martin,Male,Germany,Hockey,Men,1561324
Silver Medal,2,MUELLER Hannes,Male,Germany,Hockey,Men,1561377
Silver Medal,2,HELLWIG Malte,Male,Germany,Hockey,Men,1561374
Silver Medal,2,LUDWIG Moritz,Male,Germany,Hockey,Men,1561386
Silver Medal,2,DANNEBERG Jean-Paul,Male,Germany,Hockey,Men,1561402
Bronze Medal,3,SINGH Jarmanpreet,Male,India,Hockey,Men,1543019
Bronze Medal,3,ABHISHEK Abhishek,Male,India,Hockey,Men,1543026
Bronze Medal,3,SINGH Manpreet,Male,India,Hockey,Men,1543059
Bronze Medal,3,SINGH Hardik,Male,India,Hockey,Men,1543020
Bronze Medal,3,SINGH Gurjant,Male,India,Hockey,Men,1543033
Bronze Medal,3,SANJAY Sanjay,Male,India,Hockey,Men,1543061
Bronze Medal,3,SINGH Mandee,Male,India,Hockey,Men,1543022
Bronze Medal,3,SINGH Harmanpreet,Male,India,Hockey,Men,1543017
Bronze Medal,3,UPADHYAY Lalit Kumar,Male,India,Hockey,Men,1543028
Bronze Medal,3,PARATTU RAVEENDRAN Sreejesh,Male,India,Hockey,Men,1543015
Bronze Medal,3,SUMIT Sumit,Male,India,Hockey,Men,1543064
Bronze Medal,3,SINGH Shamsher,Male,India,Hockey,Men,1543024
Bronze Medal,3,PAL Raj Kumar,Male,India,Hockey,Men,1543029
Bronze Medal,3,ROHIDAS Amit,Male,India,Hockey,Men,1543031
Bronze Medal,3,PRASAD Vivek Sagar,Male,India,Hockey,Men,1543021
Bronze Medal,3,SINGH Sukhjeet,Male,India,Hockey,Men,1543030
Gold Medal,1,VADLAU Lara,Female,Austria,Sailing,Mixed Dinghy,1566451
Gold Medal,1,MAEHR Lukas,Male,Austria,Sailing,Mixed Dinghy,1566447
Silver Medal,2,OKADA Keiju,Male,Japan,Sailing,Mixed Dinghy,1941435
Silver Medal,2,YOSHIOKA Miho,Female,Japan,Sailing,Mixed Dinghy,1941438
Bronze Medal,3,DAHLBERG Anton,Male,Sweden,Sailing,Mixed Dinghy,1564652
Bronze Medal,3,KARLSSON Lovisa,Female,Sweden,Sailing,Mixed Dinghy,1564651
Gold Medal,1,TITA Ruggero,Male,Italy,Sailing,Mixed Multihull,1899650
Gold Medal,1,BANTI Caterina Marianna,Female,Italy,Sailing,Mixed Multihull,1899647
Silver Medal,2,MAJDALANI Mateo,Male,Argentina,Sailing,Mixed Multihull,1538041
Silver Medal,2,BOSCO Eugenia,Female,Argentina,Sailing,Mixed Multihull,1538028
Bronze Medal,3,WILKINSON Micah,Male,New Zealand,Sailing,Mixed Multihull,1918835
Bronze Medal,3,DAWSON Erica,Female,New Zealand,Sailing,Mixed Multihull,1918832
Gold Medal,1,ADJIBI Eliezer,Male,Canada,Athletics,Men's 4 x 100m Relay,1974038
Gold Medal,1,ASEMOTA Duan,Male,Canada,Athletics,Men's 4 x 100m Relay,1974049
Gold Medal,1,BLAKE Jerome,Male,Canada,Athletics,Men's 4 x 100m Relay,1974065
Gold Medal,1,BROWN Aaron,Male,Canada,Athletics,Men's 4 x 100m Relay,1974072
Gold Medal,1,De GRASSE Andre,Male,Canada,Athletics,Men's 4 x 100m Relay,1974096
Gold Medal,1,RODNEY Brendon,Male,Canada,Athletics,Men's 4 x 100m Relay,1974289
Silver Medal,2,MASWANGANYI Shaun,Male,South Africa,Athletics,Men's 4 x 100m Relay,1981059
Silver Medal,2,NKOANA Bradley,Male,South Africa,Athletics,Men's 4 x 100m Relay,4343340
Silver Medal,2,RICHARDSON Benjamin,Male,South Africa,Athletics,Men's 4 x 100m Relay,1981060
Silver Medal,2,SIMBINE Akani,Male,South Africa,Athletics,Men's 4 x 100m Relay,1981055
Silver Medal,2,WALAZA Bayanda,Male,South Africa,Athletics,Men's 4 x 100m Relay,4339445
Bronze Medal,3,AZU Jeremiah,Male,Great Britain,Athletics,Men's 4 x 100m Relay,1924439
Bronze Medal,3,HINCHLIFFE Louie,Male,Great Britain,Athletics,Men's 4 x 100m Relay,3557190
Bronze Medal,3,HUGHES Zharnel,Male,Great Britain,Athletics,Men's 4 x 100m Relay,1924431
Bronze Medal,3,KILTY Richard,Male,Great Britain,Athletics,Men's 4 x 100m Relay,1924442
Bronze Medal,3,MITCHELL-BLAKE Nethaneel,Male,Great Britain,Athletics,Men's 4 x 100m Relay,1924457
Gold Medal,1,DAVIS Tamari,Female,United States,Athletics,Women's 4 x 100m Relay,1960709
Gold Medal,1,HOBBS Aleia,Female,United States,Athletics,Women's 4 x 100m Relay,1960115
Gold Medal,1,JEFFERSON Melissa,Female,United States,Athletics,Women's 4 x 100m Relay,1961011
Gold Medal,1,RICHARDSON Sha'carri,Female,United States,Athletics,Women's 4 x 100m Relay,1960181
Gold Medal,1,TERRY Twanisha,Female,United States,Athletics,Women's 4 x 100m Relay,1965942
Gold Medal,1,THOMAS Gabrielle,Female,United States,Athletics,Women's 4 x 100m Relay,1965868
Silver Medal,2,ASHER-SMITH Dina,Female,Great Britain,Athletics,Women's 4 x 100m Relay,1924384
Silver Medal,2,HENRY Desiree,Female,Great Britain,Athletics,Women's 4 x 100m Relay,1956843
Silver Medal,2,HUNT Amy,Female,Great Britain,Athletics,Women's 4 x 100m Relay,1924432
Silver Medal,2,LANSIQUOT Imani,Female,Great Britain,Athletics,Women's 4 x 100m Relay,1924446
Silver Medal,2,NEITA Daryll,Female,Great Britain,Athletics,Women's 4 x 100m Relay,1924460
Silver Medal,2,WILLIAMS Bianca,Female,Great Britain,Athletics,Women's 4 x 100m Relay,1924507
Bronze Medal,3,BURGHARDT Alexandra,Female,Germany,Athletics,Women's 4 x 100m Relay,1920096
Bronze Medal,3,HAASE Rebekka,Female,Germany,Athletics,Women's 4 x 100m Relay,1920119
Bronze Medal,3,JUNK Sophia,Female,Germany,Athletics,Women's 4 x 100m Relay,1920142
Bronze Medal,3,LUECKENKEMPER Gina,Female,Germany,Athletics,Women's 4 x 100m Relay,1920164
Bronze Medal,3,MAYER Lisa,Female,Germany,Athletics,Women's 4 x 100m Relay,1920169
Gold Medal,1,SILVA RAMOS Ana Patricia,Female,Brazil,Beach Volleyball,Women,1964058
Gold Medal,1,SANTOS LISBOA Eduarda,Female,Brazil,Beach Volleyball,Women,1964088
Silver Medal,2,HUMANA-PAREDES Melissa,Female,Canada,Beach Volleyball,Women,1967340
Silver Medal,2,WILKERSON Brandie,Female,Canada,Beach Volleyball,Women,1967346
Bronze Medal,3,HUEBERLI Tanja,Female,Switzerland,Beach Volleyball,Women,1976570
Bronze Medal,3,BRUNNER Nina,Female,Switzerland,Beach Volleyball,Women,1976465
Gold Medal,1,SCHOPF Jacob,Male,Germany,Canoe Sprint,Men's Kayak Double 500m,1913746
Gold Medal,1,LEMKE Max,Male,Germany,Canoe Sprint,Men's Kayak Double 500m,1913736
Silver Medal,2,NADAS Bence,Male,Hungary,Canoe Sprint,Men's Kayak Double 500m,1570441
Silver Medal,2,TOTKA Sandor,Male,Hungary,Canoe Sprint,Men's Kayak Double 500m,1570845
Bronze Medal,3,van der WESTHUYZEN Jean,Male,Australia,Canoe Sprint,Men's Kayak Double 500m,1940218
Bronze Medal,3,GREEN Tom,Male,Australia,Canoe Sprint,Men's Kayak Double 500m,1940223
Gold Medal,1,XU Shixiao,Female,China,Canoe Sprint,Women's Canoe Double 500m,1927382
Gold Medal,1,SUN Mengya,Female,China,Canoe Sprint,Women's Canoe Double 500m,1927383
Silver Medal,2,LUZAN Liudmyla,Female,Ukraine,Canoe Sprint,Women's Canoe Double 500m,1897153
Silver Medal,2,RYBACHOK Anastasiia,Female,Ukraine,Canoe Sprint,Women's Canoe Double 500m,1897155
Bronze Medal,3,MACKENZIE Sloan,Female,Canada,Canoe Sprint,Women's Canoe Double 500m,1964583
Bronze Medal,3,VINCENT Katie,Female,Canada,Canoe Sprint,Women's Canoe Double 500m,1964547
Gold Medal,1,CARRINGTON Lisa,Female,New Zealand,Canoe Sprint,Women's Kayak Double 500m,1945383
Gold Medal,1,HOSKIN Alicia,Female,New Zealand,Canoe Sprint,Women's Kayak Double 500m,1945378
Silver Medal,2,CSIPES Tamara,Female,Hungary,Canoe Sprint,Women's Kayak Double 500m,1568350
Silver Medal,2,GAZSO Alida Dora,Female,Hungary,Canoe Sprint,Women's Kayak Double 500m,1568750
Bronze Medal,3,PASZEK Paulina,Female,Germany,Canoe Sprint,Women's Kayak Double 500m,1913800
Bronze Medal,3,HAKE Jule Marie,Female,Germany,Canoe Sprint,Women's Kayak Double 500m,1913749
Bronze Medal,3,PUPP Noemi,Female,Hungary,Canoe Sprint,Women's Kayak Double 500m,1570556
Bronze Medal,3,FOJT Sara,Female,Hungary,Canoe Sprint,Women's Kayak Double 500m,1568745
Gold Medal,1,GUAZZINI Vittoria,Female,Italy,Cycling Track,Women's Madison,1923042
Gold Medal,1,CONSONNI Chiara,Female,Italy,Cycling Track,Women's Madison,1923048
Silver Medal,2,EVANS Neah,Female,Great Britain,Cycling Track,Women's Madison,1912519
Silver Medal,2,BARKER Elinor,Female,Great Britain,Cycling Track,Women's Madison,1912507
Bronze Medal,3,van BELLE Lisa,Female,Netherlands,Cycling Track,Women's Madison,1969170
Bronze Medal,3,van der DUIN Maike,Female,Netherlands,Cycling Track,Women's Madison,1969173
Gold Medal,1,TENAS Arnau,Male,Spain,Football,Men,1942296
Gold Medal,1,PUBILL Marc,Male,Spain,Football,Men,1942269
Gold Medal,1,MIRANDA Juan,Male,Spain,Football,Men,1942241
Gold Medal,1,GARCIA Eric,Male,Spain,Football,Men,1942076
Gold Medal,1,CUBARSI Pau,Male,Spain,Football,Men,1942056
Gold Medal,1,BARRIOS Pablo,Male,Spain,Football,Men,1942037
Gold Medal,1,LOPEZ Diego,Male,Spain,Football,Men,1942222
Gold Medal,1,TURRIENTES Benat,Male,Spain,Football,Men,1942301
Gold Medal,1,RUIZ Abel,Male,Spain,Football,Men,1942280
Gold Medal,1,BAENA Alex,Male,Spain,Football,Men,1942033
Gold Medal,1,LOPEZ Fermin,Male,Spain,Football,Men,1942221
Gold Medal,1,PACHECO Jon,Male,Spain,Football,Men,1942259
Gold Medal,1,GARCIA Joan,Male,Spain,Football,Men,1942077
Gold Medal,1,OROZ Aimar,Male,Spain,Football,Men,1942257
Gold Medal,1,GUTIERREZ Miguel,Male,Spain,Football,Men,1942099
Gold Medal,1,BERNABE Adrian,Male,Spain,Football,Men,1942039
Gold Medal,1,GOMEZ Sergio,Male,Spain,Football,Men,1942089
Gold Medal,1,OMORODION Samu,Male,Spain,Football,Men,1942256
Gold Medal,1,MOSQUERA Cristhian,Male,Spain,Football,Men,1942248
Gold Medal,1,SANCHEZ Juanlu,Male,Spain,Football,Men,1942289
Gold Medal,1,CAMELLO Sergio,Male,Spain,Football,Men,1942046
Gold Medal,1,ITURBE Alejandro,Male,Spain,Football,Men,1942104
Silver Medal,2,NKAMBADIO Obed,Male,France,Football,Men,1900695
Silver Medal,2,LUKEBA Castello,Male,France,Football,Men,1900683
Silver Medal,2,TRUFFERT Adrien,Male,France,Football,Men,1900718
Silver Medal,2,BADE Loic,Male,France,Football,Men,4669223
Silver Medal,2,SILDILLIA Kiliann,Male,France,Football,Men,1900709
Silver Medal,2,KONE Manu,Male,France,Football,Men,1900672
Silver Medal,2,OLISE Michael,Male,France,Football,Men,1900699
Silver Medal,2,AKLIOUCHE Maghnes,Male,France,Football,Men,1900626
Silver Medal,2,KALIMUENDO Arnaud,Male,France,Football,Men,1900668
Silver Medal,2,LACAZETTE Alexandre,Male,France,Football,Men,1900674
Silver Medal,2,DOUE Desire,Male,France,Football,Men,1900653
Silver Medal,2,MILLOT Enzo,Male,France,Football,Men,1900694
Silver Medal,2,CHOTARD Joris,Male,France,Football,Men,1900644
Silver Medal,2,MATETA Jean-Philippe,Male,France,Football,Men,3549727
Silver Medal,2,LOCKO Bradley,Male,France,Football,Men,1900682
Silver Medal,2,RESTES Guillaume,Male,France,Football,Men,1900702
Silver Medal,2,MAGASSA Soungoutou,Male,France,Football,Men,1900684
Silver Medal,2,CHERKI Rayan,Male,France,Football,Men,1900641
